INST_CODE, INST_CODE,PLACE,DIST,COED,TYPE,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,TUITION_FEE 2016,AFFILIATED,YEAR,EWS_BOYS,EWS_GIRLS,
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,25594,30602,71964,75760,55623,55623,25594,30602,52110,52110,55875,67605,73190,85552,49086,90523,48000,JNTUH,2019,,,
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,51982,51982,94136,94136,83731,98596,51982,76042,66942,80098,86690,90584,85408,97046,71960,95996,48000,JNTUH,2019,,,
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,48000,JNTUH,2019,,,
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,MEC,MECHANICAL ENGINEERING,29410,29410,29410,29410,91509,91509,29410,29410,29410,29410,29410,94746,82105,92652,78444,78444,48000,JNTUH,2019,,,
ACEG,A C E ENGINEERING COLLEGE,GHATKESAR,MDL,COED,PVT,CIV,CIVIL ENGINEERING,41557,79746,85983,85983,97703,97703,47985,79746,95876,95876,95568,95568,96478,96478,74861,80784,82000,JNTUH,2019,,,
ACEG,A C E ENGINEERING COLLEGE,GHATKESAR,MDL,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,26085,27135,77585,77585,45653,45653,95934,95934,49548,52987,80330,83095,96024,96024,99434,99434,82000,JNTUH,2019,,,
ACEG,A C E ENGINEERING COLLEGE,GHATKESAR,MDL,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,40415,46624,85209,85209,78237,81421,60231,65910,59216,65088,88541,89982,90246,90246,42778,90014,82000,JNTUH,2019,,,
ACEG,A C E ENGINEERING COLLEGE,GHATKESAR,MDL,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,50487,50487,50487,50487,83880,86246,50487,50487,69185,72159,84962,85535,86169,86169,98208,98208,82000,JNTUH,2019,,,
ACEG,A C E ENGINEERING COLLEGE,GHATKESAR,MDL,COED,PVT,INF,INFORMATION TECHNOLOGY,37388,37477,64613,64613,69865,69865,37388,37477,55179,62598,82821,97318,99560,99560,39828,39828,82000,JNTUH,2019,,,
ACEG,A C E ENGINEERING COLLEGE,GHATKESAR,MDL,COED,PVT,MEC,MECHANICAL ENGINEERING,82513,82513,82513,82513,82513,84080,82513,82513,97433,97433,82513,82513,93554,93554,93518,93518,82000,JNTUH,2019,,,
